id,name
33c895d4,Southampton
361ca564,Tottenham-Hotspur
456c5e63,Tottenham-Hotspur-U23
13dc44fd,Sporting-CP
00c41b75,Estoril
e41e516f,Manchester-City-U23
b8fd03ef,Manchester-City
e090f40b,Blackburn-Rovers
08ad393c,Anderlecht
17892952,Stoke-City
943e8050,Burnley
fdba14df,Lech-Poznan
2d9ff02d,Gornik-Leczna
ed54a8b3,Southampton-U23
8602292d,Aston-Villa
1df6b87e,Sheffield-United
4ba7cbea,Bournemouth
ce786972,Chesterfield
8b9bf22a,AFC-Wimbledon
18bb7c10,Arsenal
7a8db6d4,Charlton-Athletic
86b7acd2,Rangers
179c33c7,Southampton-U21
b74092de,Ipswich-Town
e297cd13,Luton-Town
fb10988f,Swansea-City
7c21e445,West-Ham-United
b3072e00,Rennes
cff3d9bb,Chelsea
a757999c,Queens-Park-Rangers
375d66f1,Rotherham-United
5b4413b6,Aston-Villa-U23
9e85547f,Solihull-Moors
22df8478,Preston-North-End
7f59c601,Middlesbrough
9c584cf2,Nagoya-Grampus
3986b791,AZ-Alkmaar
c2f85bbb,Jong-AZ
b2b47a98,Newcastle-United
f7e3dfe9,Coventry-City
293cb36b,Barnsley
445d3104,Bolton-Wanderers
60c6b05f,West-Bromwich-Albion
1850e3f9,Nordsjaelland
32a1480e,Plymouth-Argyle
1b295b25,Swindon-Town
3c4fb635,Midtjylland
1e972a99,Genk
c8ad3091,Trabzonspor
2d860997,Middlesbrough-U23
f13a527f,Crewe-Alexandra
f3aacc58,Hibernian
c30e88bc,Woking
41da1cf3,Cambridge-United
a8290768,Aldershot-Town
bd5179b9,Yeovil-Town
b0ac61ff,Reading
cd051869,Brentford
5bfb9659,Leeds-United
47c64c55,Crystal-Palace
e4a775cb,Nottingham-Forest
b6e0c777,Blackburn-Rovers-U23
2a8183b3,Villarreal
3148d79f,Bradford-City
4463fecb,Inverness-CT
e272e7a8,York-City
d6a369a2,Fleetwood-Town
822bd0ba,Liverpool
071dd6bd,Liverpool-U23
d07537b9,Brighton-and-Hove-Albion
8bbab7cf,Aberdeen
3ea79db4,Newcastle-United-U21
9172ba36,Accrington-Stanley
6ca73159,Morecambe
aca0450a,Stevenage
654f3ca6,Bristol-Rovers
7cbf5cb4,Blackpool
03d10d77,Doncaster-Rovers
5f01284a,Gillingham
05ebd479,MSV-Duisburg-U17
37a68655,Bochum-U17
5f0284ea,Bochum-U19
b42c6323,Bochum
8e1ea572,Jong-PSV
e334d850,PSV-Eindhoven
5f232eb1,Sao-Paulo
3568ad4c,St-Mirren
a5298e9f,Ross-County
8ef52968,Sunderland
f83960ae,Metz
d53c0b06,Lyon
afa3c276,West-Ham-United-U21
658bf2de,Genoa
a324bb9a,Manchester-City-U21
9ae196bd,AGF
d86248bd,BodoGlimt
c0d3eab4,Strasbourg
2e91bf26,Barnet
d6e6321c,Peterborough-United
8e20e13d,Racing-Club
e0652b02,Juventus
639950ae,Flamengo
d3fd31cc,Everton
