id,name
e2d8892c,Paris S-G
054efa67,Bayern Munich
822bd0ba,Liverpool
206d90db,Barcelona
53a2f082,Real Madrid
d48ad4ff,Napoli
c7a9f859,Leverkusen
d609edc0,Inter
db3b9613,Atletico Madrid
922493f3,Atalanta
18bb7c10,Arsenal
5725cc7b,Marseille
b8fd03ef,Manchester City
fd6114db,Monaco
b2b47a98,Newcastle Utd
cff3d9bb,Chelsea
e0652b02,Juventus
cf74a709,Roma
7213da33,Lazio
2b390eca,Athletic Club
132ebc33,Nice
cb188c0c,Lille
c0d3eab4,Strasbourg
1d8099f8,Bologna
f0ac8ee6,Eint Frankfurt
e4a775cb,Nott'ham Forest
2a8183b3,Villarreal
8602292d,Aston Villa
d53c0b06,Lyon
421387cf,Fiorentina
fc536746,Betis
dc56fe14,Milan
a486e511,Freiburg
add600ae,Dortmund
acbb6a5b,RB Leipzig
4ba7cbea,Bournemouth
a224b06a,Mainz 05
fd4e0f7d,Lens
cd051869,Brentford
d07537b9,Brighton
fb08dbb3,Brest
62add3bf,Werder Bremen
fd962109,Fulham
32f3ee20,Gladbach
598bc722,Stuttgart
f25da7fb,Celta Vigo
0cdc4311,Augsburg
47c64c55,Crystal Palace
28c9c3cd,Como
98e8af82,Rayo Vallecano
2aa12281,Mallorca
03c57e2b,Osasuna
5ae09109,Auxerre
105360fe,Torino
e31d1cd9,Real Sociedad
04eea015,Udinese
dcc91a7b,Valencia
4eaa11d7,Wolfsburg
b3072e00,Rennes
3f8c4b5f,Toulouse
8cec06e1,Wolves
7a41008f,Union Berlin
7848bd64,Getafe
a8661628,Espanyol
ad2be733,Sevilla
9024a00a,Girona
d3fd31cc,Everton
19538871,Manchester Utd
658bf2de,Genoa
361ca564,Tottenham
7c21e445,West Ham
8d6fd021,Alaves
7fdd64e0,Reims
69236f98,Angers
d7a486cd,Nantes
54864664,St. Pauli
033ea6b8,Hoffenheim
5c2737db,Le Havre
c4260e09,Cagliari
0049d422,Las Palmas
eab4234c,Parma
7c6f2c78,Leganes
0e72edf2,Hellas Verona
18d9d2a7,Heidenheim
2ac661d9,Holstein Kiel
ffcbe334,Lecce
d298ef2c,Saint-Etienne
af5d5982,Venezia
a3d88bd8,Empoli
b42c6323,Bochum
b74092de,Ipswich Town
a2d435b3,Leicester City
281b0e73,Montpellier
17859612,Valladolid
21680aa4,Monza
33c895d4,Southampton
