id,name,positions,foot,height,age,nationality,current_club,gls,assists,mp,cpf
ecbe2839,Willian Pacho,Defender,Left,186,23,Ecuador,e2d8892c,0,1,43,f0ac8ee6 990519b8 e2d8892c c2e6b53b
e42d61c7,Achraf Hakimi,Defender Midfielder,Right,177,26,Morocco,e2d8892c,7,11,40,e2d8892c add600ae d609edc0 53a2f082
3b029691,Vitinha,Midfielder,Right,172,25,Portugal,e2d8892c,7,2,44,e2d8892c 79cadc09 8cec06e1 5e876ee6
c2a15a27,Joao Neves,Midfielder,None,None,20,Portugal,e2d8892c,4,9,44,a77c513e e2d8892c
a0d55a09,Bradley Barcola,Midfielder Forward,None,188,22,France,e2d8892c,17,13,49,e2d8892c d53c0b06
08f5afaa,Gianluigi Donnarumma,Goalkeeper,Right,196,26,Italy,e2d8892c,0,0,37,e2d8892c dc56fe14
f20e4cc9,Nuno Mendes,Defender Midfielder,Left,176,22,Portugal,e2d8892c,5,3,38,e2d8892c 13dc44fd
d5f2f82b,Marquinhos,Defender Midfielder,Right,183,30,Brazil,e2d8892c,1,0,36,cf74a709 e2d8892c
c0c7ff58,Fabian Ruiz Pena,Midfielder,Left,189,29,Spain,e2d8892c,5,8,45,fc536746 d48ad4ff 6c8b07df e2d8892c
b19db005,Ousmane Dembele,Midfielder Forward,Both,178,27,France,e2d8892c,29,10,42,b3072e00 206d90db add600ae e2d8892c
6b9960cf,Warren Zaire-Emery,Midfielder,None,178,19,France,e2d8892c,2,2,40,e2d8892c
9e7483ff,Desire Doue,Midfielder Forward,Right,178,19,France,e2d8892c,9,8,45,b3072e00 e2d8892c
b8aedf06,Lucas Beraldo,Defender,Right,182,21,Brazil,e2d8892c,1,0,28,e2d8892c 5f232eb1
8455ad90,Lee Kang-in,Midfielder Forward,Left,173,24,Korea Republic,e2d8892c,6,6,41,e2d8892c dcc91a7b 2aa12281
f63cda26,Goncalo Ramos,Forward,Right,184,23,Portugal,e2d8892c,13,4,32,a77c513e e2d8892c
dea88efd,Khvicha Kvaratskhelia,Midfielder Forward,Right,183,24,Georgia,e2d8892c,9,8,38,e2d8892c d48ad4ff 5625a7da 5a8dc328
d97b252e,Matvei Safonov,Goalkeeper,Right,191,26,Russia,e2d8892c,0,0,12,e2d8892c fa11a9cc
c3ee18ef,Lucas Hernandez,Defender,Left,183,29,France,e2d8892c,0,0,20,e2d8892c db3b9613 054efa67
bac89b96,Senny Mayulu,Midfielder,None,None,18,France,e2d8892c,3,1,22,e2d8892c
45af8a54,Marco Asensio,Midfielder Forward,Left,178,29,Spain,8602292d,8,5,31,e2d8892c 2aa12281 a8661628 8602292d 53a2f082
c0b3669f,Randal Kolo Muani,Midfielder Forward,Right,187,26,France,e0652b02,9,2,30,f0ac8ee6 d7a486cd e0652b02 e2d8892c
30f5ffa9,Milan Skriniar,Defender Midfielder,Right,187,30,Slovakia,ae1e2d7d,3,1,22,e2d8892c 8ff9e3b3 d609edc0 ae1e2d7d
201b4ee4,Ibrahim Mbaye,Forward,None,None,17,France,e2d8892c,1,1,9,e2d8892c
5ce497e2,Yoram Zague,Defender,None,178,18,France,e2d8892c,0,0,4,e2d8892c
75cde619,Axel Tape,Midfielder,None,None,17,France,e2d8892c,0,0,2,e2d8892c
30670b0e,Arnau Tenas,Goalkeeper,Right,185,23,Spain,e2d8892c,0,0,1,e2d8892c 206d90db
aef6e670,Presnel Kimpembe,Defender,Left,183,29,France,e2d8892c,0,0,3,e2d8892c
1a7cfdea,Noham Kamara,Defender,None,None,18,France,e2d8892c,0,0,2,e2d8892c
fed17f5a,Carlos Soler,Midfielder,Right,183,28,Spain,7c21e445,1,1,30,e2d8892c 7c21e445 dcc91a7b
49296448,Joshua Kimmich,Defender Midfielder,Right,176,30,Germany,054efa67,2,11,46,054efa67 acbb6a5b
e0f8151c,Kim Min-jae,Defender,Right,188,28,Korea Republic,054efa67,3,0,40,ae23a242 ae1e2d7d d48ad4ff 054efa67 8ab37ab8
21a66f6a,Harry Kane,Forward,Right,188,31,England,054efa67,36,10,43,590e9120 a2d435b3 e3c537a1 361ca564 054efa67 1c781004
c4486bac,Michael Olise,Midfielder Forward,Left,178,23,France,054efa67,16,16,47,b0ac61ff 054efa67 62c221d0 67909e74 47c64c55
d248cd8f,Dayot Upamecano,Defender,Right,188,26,France,054efa67,2,0,31,50f2a074 054efa67 acbb6a5b
8778c910,Manuel Neuer,Goalkeeper,Right,193,39,Germany,054efa67,0,0,31,054efa67 c539e393
2c0558b8,Jamal Musiala,Midfielder Forward,Right,184,22,Germany,054efa67,15,5,37,9133b975 a4a1c462 8b10a09d 054efa67
c1b7847c,Konrad Laimer,Defender Midfielder,Right,179,27,Austria,054efa67,3,3,39,50f2a074 054efa67 acbb6a5b
d781d855,Alphonso Davies,Defender Midfielder Forward,Left,178,24,Canada,054efa67,3,2,28,9133b975 ab41cb90 2cbb6f5a 054efa67
2b114be3,Leroy Sane,Midfielder Forward,Left,184,29,Germany,054efa67,12,5,42,e41e516f b8fd03ef 054efa67 c539e393
cc86b9a3,Leon Goretzka,Midfielder,Right,189,30,Germany,054efa67,5,2,37,b42c6323 054efa67 c539e393
048a1cbc,Raphael Guerreiro,Defender Midfielder,Left,170,31,Portugal,054efa67,5,4,31,74229020 054efa67 add600ae d2c87802
88e357ef,Serge Gnabry,Midfielder Forward,Right,173,29,Germany,054efa67,6,7,38,62add3bf 033ea6b8 60c6b05f 054efa67 18bb7c10
042e8a49,Kingsley Coman,Midfielder Forward,Right,178,28,France,054efa67,6,4,38,e0652b02 e2d8892c 054efa67
ac861941,Eric Dier,Defender Midfielder,Right,188,31,England,054efa67,3,1,26,361ca564 054efa67 13dc44fd
2658c82f,Aleksandar Pavlovic,Midfielder,None,None,21,Germany,054efa67,1,0,25,a4a1c462 8b10a09d 054efa67
3c6089ab,Thomas Muller,Midfielder Forward,Right,186,35,Germany,054efa67,4,5,41,054efa67
7ed08d5c,Josip Stanisic,Defender,Right,186,25,Croatia,054efa67,0,2,19,9133b975 c7a9f859 054efa67 a4a1c462
925bbcdc,Jonas Urbig,Goalkeeper,Right,189,21,Germany,054efa67,0,0,22,5b499073 12192a4c 5cb328f2 bc357bf7 054efa67 7978e9a3
a78ff07f,Joao Palhinha,Midfielder,Right,190,29,Portugal,054efa67,0,0,22,69d84c29 19dc476f e4502862 fd962109 054efa67 13dc44fd
6c8ddd52,Sacha Boey,Defender,Right,166,24,France,054efa67,0,1,15,b3072e00 ecd11ca2 054efa67 8dfb7350
829aa60c,Mathys Tel,Forward,None,183,20,France,361ca564,2,2,27,b3072e00 361ca564 054efa67
3f29b3ba,Daniel Peretz,Goalkeeper,Right,187,24,Israel,054efa67,0,0,4,054efa67
204dded0,Hiroki Ito,Defender,Left,186,26,Japan,054efa67,1,0,8,598bc722 9c584cf2 054efa67 16fa293c
7d3e7da6,Sven Ulreich,Goalkeeper,Right,192,36,Germany,054efa67,0,0,2,598bc722 054efa67 26790c6a 2959ee71
5360a956,Gabriel Vidovic,Midfielder,None,180,21,Croatia,054efa67,0,0,4,8b10a09d a224b06a edd0d381 209d7fa2 a4a1c462 054efa67
e678d983,Adam Aznou,Defender,None,None,18,Morocco,a4a1c462,0,0,14,17859612 a4a1c462 8b10a09d 054efa67
f5c4fd91,Arijon Ibrahimovic,Forward,None,179,19,Germany,7213da33,0,0,3,6a7ad59d 8b10a09d 7213da33 054efa67 a4a1c462
c7c26e61,Jonah Kusi-Asare,Forward,None,None,17,Sweden,a4a1c462,0,0,1,a4a1c462 b0333581 054efa67
f6c57f0c,Wisdom Mike,Forward,None,None,16,Germany,8b10a09d,0,0,0,a4a1c462 054efa67 8b10a09d
220c0445,Anthony Pavlesic,Goalkeeper,None,None,19,Australia,a4a1c462,0,0,0,605aca82 a4a1c462 054efa67
a0deb1e9,Lennart Karl,Midfielder,None,None,17,Germany,8b10a09d,0,0,0,a4a1c462 054efa67 8b10a09d
257e16ec,Leon Klanac,Goalkeeper,None,None,18,Germany,a4a1c462,0,0,0,a4a1c462 8b10a09d
4ac730b2,Nestory Irankunda,Midfielder,None,None,19,Australia,7b66a29c,0,3,16,7b66a29c a4302376
25355bd8,Jonathan Asp Jensen,Midfielder,None,None,19,Denmark,a4a1c462,0,0,0,a4a1c462 054efa67 8b10a09d
99a19e12,Max Schmitt,Goalkeeper,None,189,19,Germany,a4a1c462,0,0,0,a4a1c462 8b10a09d 054efa67
445dff99,Noel Nkili,Midfielder,None,None,19,Germany,a4a1c462,0,0,10,81d83299 b7f03da0 054efa67 a4a1c462 60b5e41f df7c9b00
a8f643c2,Tarek Buchmann,Defender,None,None,20,Germany,054efa67,0,0,0,a4a1c462 8b10a09d
