id,name,positions,foot,height,age,nationality,current_club,gls,assists,mp,cpf
ecbe2839,Willian Pacho,CB,Left,186,23,Ecuador,e2d8892c,0,1,42,c2e6b53b e2d8892c 990519b8 f0ac8ee6
e42d61c7,Achraf Hakimi,FB WM,Right,177,26,Morocco,e2d8892c,6,11,39,e2d8892c add600ae d609edc0 53a2f082
3b029691,Vitinha,CM,Right,172,25,Portugal,e2d8892c,7,2,43,5e876ee6 79cadc09 e2d8892c 8cec06e1
c2a15a27,Joao Neves,DM,None,None,20,Portugal,e2d8892c,4,9,43,a77c513e e2d8892c
a0d55a09,Bradley Barcola,FW-MF,None,188,22,France,e2d8892c,17,13,47,e2d8892c d53c0b06
08f5afaa,Gianluigi Donnarumma,GK,Right,196,26,Italy,e2d8892c,0,0,36,e2d8892c dc56fe14
f20e4cc9,Nuno Mendes,FB,Left,176,22,Portugal,e2d8892c,5,3,37,13dc44fd e2d8892c
d5f2f82b,Marquinhos,CB FB,Right,183,30,Brazil,e2d8892c,1,0,35,e2d8892c cf74a709
c0c7ff58,Fabian Ruiz Pena,CM DM WM,Left,189,29,Spain,e2d8892c,4,8,44,e2d8892c 6c8b07df fc536746 d48ad4ff
b19db005,Ousmane Dembele,AM,Both,178,27,France,e2d8892c,29,9,41,b3072e00 206d90db add600ae e2d8892c
6b9960cf,Warren Zaire-Emery,CM,None,178,19,France,e2d8892c,2,1,39,e2d8892c
9e7483ff,Desire Doue,FW-MF,Right,178,19,France,e2d8892c,9,8,43,b3072e00 e2d8892c
b8aedf06,Lucas Beraldo,CB,Right,182,21,Brazil,e2d8892c,1,0,27,5f232eb1 e2d8892c
8455ad90,Lee Kang-in,WM,Left,173,24,Korea Republic,e2d8892c,6,6,40,e2d8892c dcc91a7b 2aa12281
f63cda26,Goncalo Ramos,FW,Right,184,23,Portugal,e2d8892c,10,4,30,a77c513e e2d8892c
dea88efd,Khvicha Kvaratskhelia,AM,Right,183,24,Georgia,e2d8892c,9,8,37,5a8dc328 e2d8892c 5625a7da d48ad4ff
d97b252e,Matvei Safonov,GK,Right,191,26,Russia,e2d8892c,0,0,12,fa11a9cc e2d8892c
c3ee18ef,Lucas Hernandez,CB FB,Left,183,29,France,e2d8892c,0,0,18,db3b9613 054efa67 e2d8892c
bac89b96,Senny Mayulu,MF,None,None,18,France,e2d8892c,2,1,21,e2d8892c
45af8a54,Marco Asensio,AM WM,Left,178,29,Spain,8602292d,8,5,30,8602292d e2d8892c 2aa12281 a8661628 53a2f082
c0b3669f,Randal Kolo Muani,FW-MF,Right,187,26,France,e0652b02,8,2,29,e0652b02 d7a486cd e2d8892c f0ac8ee6
30f5ffa9,Milan Skriniar,CB,Right,187,30,Slovakia,ae1e2d7d,2,1,21,e2d8892c 8ff9e3b3 d609edc0 ae1e2d7d
201b4ee4,Ibrahim Mbaye,FW,None,None,17,France,e2d8892c,1,0,8,e2d8892c
5ce497e2,Yoram Zague,DF,None,178,18,France,e2d8892c,0,0,3,e2d8892c
75cde619,Axel Tape,MF,None,None,17,France,e2d8892c,0,0,1,e2d8892c
30670b0e,Arnau Tenas,GK,Right,185,23,Spain,e2d8892c,0,0,0,206d90db e2d8892c
aef6e670,Presnel Kimpembe,CB,Left,183,29,France,e2d8892c,0,0,3,e2d8892c
1a7cfdea,Noham Kamara,DF,None,None,18,France,e2d8892c,0,0,1,e2d8892c
fed17f5a,Carlos Soler,CM WM,Right,183,28,Spain,7c21e445,1,1,29,7c21e445 e2d8892c dcc91a7b
49296448,Joshua Kimmich,DM FB,Right,176,30,Germany,054efa67,2,11,45,acbb6a5b 054efa67
e0f8151c,Kim Min-jae,CB,Right,188,28,Korea Republic,054efa67,3,0,40,054efa67 ae23a242 8ab37ab8 ae1e2d7d d48ad4ff
21a66f6a,Harry Kane,FW,Right,188,31,England,054efa67,35,10,42,054efa67 a2d435b3 590e9120 e3c537a1 1c781004 361ca564
c4486bac,Michael Olise,AM,Left,178,23,France,054efa67,15,15,46,054efa67 b0ac61ff 47c64c55 62c221d0 67909e74
d248cd8f,Dayot Upamecano,CB,Right,188,26,France,054efa67,2,0,31,acbb6a5b 054efa67 50f2a074
2c0558b8,Jamal Musiala,AM,Right,184,22,Germany,054efa67,15,5,37,9133b975 a4a1c462 054efa67 8b10a09d
8778c910,Manuel Neuer,GK,Right,193,39,Germany,054efa67,0,0,30,c539e393 054efa67
c1b7847c,Konrad Laimer,CM DM FB WM,Right,179,27,Austria,054efa67,3,3,38,acbb6a5b 054efa67 50f2a074
d781d855,Alphonso Davies,FB,Left,178,24,Canada,054efa67,3,2,28,9133b975 054efa67 2cbb6f5a ab41cb90
2b114be3,Leroy Sane,AM,Left,184,29,Germany,054efa67,12,4,41,c539e393 054efa67 b8fd03ef e41e516f
cc86b9a3,Leon Goretzka,AM CM DM,Right,189,30,Germany,054efa67,5,2,36,c539e393 054efa67 b42c6323
048a1cbc,Raphael Guerreiro,FB WM,Left,170,31,Portugal,054efa67,5,4,30,054efa67 add600ae 74229020 d2c87802
88e357ef,Serge Gnabry,AM WM,Right,173,29,Germany,054efa67,6,7,37,62add3bf 18bb7c10 033ea6b8 054efa67 60c6b05f
042e8a49,Kingsley Coman,AM WM,Right,178,28,France,054efa67,6,4,37,e0652b02 054efa67 e2d8892c
2658c82f,Aleksandar Pavlovic,MF,None,None,21,Germany,054efa67,1,0,24,a4a1c462 054efa67 8b10a09d
ac861941,Eric Dier,CB DM,Right,188,31,England,054efa67,3,1,25,13dc44fd 054efa67 361ca564
3c6089ab,Thomas Muller,AM WM,Right,186,35,Germany,054efa67,4,5,40,054efa67
7ed08d5c,Josip Stanisic,FB,Right,186,25,Croatia,054efa67,0,2,18,9133b975 a4a1c462 054efa67 c7a9f859
925bbcdc,Jonas Urbig,GK,Right,189,21,Germany,054efa67,0,0,22,5cb328f2 bc357bf7 054efa67 5b499073 12192a4c 7978e9a3
a78ff07f,Joao Palhinha,CM DM,Right,190,29,Portugal,054efa67,0,0,21,fd962109 13dc44fd 69d84c29 054efa67 e4502862 19dc476f
6c8ddd52,Sacha Boey,FB,Right,166,24,France,054efa67,0,1,15,b3072e00 8dfb7350 054efa67 ecd11ca2
829aa60c,Mathys Tel,FW,None,183,20,France,361ca564,2,2,25,b3072e00 054efa67 361ca564
3f29b3ba,Daniel Peretz,GK,Right,187,24,Israel,054efa67,0,0,4,054efa67
204dded0,Hiroki Ito,CB,Left,186,25,Japan,054efa67,1,0,8,598bc722 9c584cf2 054efa67 16fa293c
7d3e7da6,Sven Ulreich,GK,Right,192,36,Germany,054efa67,0,0,2,598bc722 2959ee71 054efa67 26790c6a
e678d983,Adam Aznou,DF,None,None,18,Morocco,a4a1c462,0,0,13,a4a1c462 054efa67 8b10a09d 17859612
5360a956,Gabriel Vidovic,MF,None,180,21,Croatia,054efa67,0,0,3,a4a1c462 edd0d381 209d7fa2 054efa67 8b10a09d a224b06a
