id,name
e2d8892c,Paris S-G
990519b8,Independiente-del-Valle
c2e6b53b,Antwerp
f0ac8ee6,Eintracht-Frankfurt
53a2f082,Real-Madrid
add600ae,Dortmund
d609edc0,Internazionale
5e876ee6,Porto
79cadc09,Wolverhampton-Wanderers-U23
8cec06e1,Wolverhampton-Wanderers
a77c513e,Benfica
d53c0b06,Lyon
13dc44fd,Sporting-CP
dc56fe14,Milan
cf74a709,Roma
fc536746,Real-Betis
6c8b07df,Elche
d48ad4ff,Napoli
b3072e00,Rennes
206d90db,Barcelona
5f232eb1,Sao-Paulo
dcc91a7b,Valencia
2aa12281,Mallorca
5a8dc328,Lokomotiv-Moscow
5625a7da,Rubin-Kazan
fa11a9cc,Krasnodar
db3b9613,Atletico-Madrid
054efa67,Bayern-Munich
a8661628,Espanyol
8602292d,Aston-Villa
d7a486cd,Nantes
e0652b02,Juventus
8ff9e3b3,Sampdoria
ae1e2d7d,Fenerbahce
7c21e445,West-Ham-United
acbb6a5b,RB-Leipzig
ae23a242,Jeonbuk-Hyundai-Motors
8ab37ab8,Beijing-Sinobo-Guoan
590e9120,Leyton-Orient
e3c537a1,Millwall
1c781004,Norwich-City
a2d435b3,Leicester-City
361ca564,Tottenham-Hotspur
67909e74,Reading-U23
b0ac61ff,Reading
62c221d0,Crystal-Palace-U23
47c64c55,Crystal-Palace
c539e393,Schalke-04
50f2a074,Red-Bull-Salzburg
8b10a09d,Bayern-Munich-U17
a4a1c462,Bayern-Munich-U19
9133b975,Bayern-Munich-II
2cbb6f5a,Whitecaps-FC-2
ab41cb90,Vancouver-Whitecaps-FC
b8fd03ef,Manchester-City
e41e516f,Manchester-City-U23
b42c6323,Bochum
74229020,Caen
d2c87802,Lorient
18bb7c10,Arsenal
60c6b05f,West-Bromwich-Albion
62add3bf,Werder-Bremen
033ea6b8,Hoffenheim
c7a9f859,Bayer-Leverkusen
5b499073,Koln-U17
7978e9a3,Koln-U19
bc357bf7,Koln
5cb328f2,Jahn-Regensburg
12192a4c,Greuther-Furth
e4502862,Moreirense
19dc476f,Belenenses
69d84c29,Braga
fd962109,Fulham
8dfb7350,Dijon
ecd11ca2,Galatasaray
16fa293c,Jubilo-Iwata
9c584cf2,Nagoya-Grampus
598bc722,Stuttgart
2959ee71,Stuttgart-II
26790c6a,Hamburger-SV
209d7fa2,Vitesse
edd0d381,Dinamo-Zagreb
a224b06a,Mainz-05
17859612,Valladolid
6a7ad59d,Frosinone
7213da33,Lazio
b0333581,AIK-Stockholm
605aca82,Central-Coast-Mariners
a4302376,Adelaide-United
7b66a29c,Grasshopper
81d83299,Hertha-BSC-U17
b7f03da0,Hertha-BSC-U19
60b5e41f,Hannover-96
df7c9b00,Hannover-96-II
f205258a,Avai
3f319bc9,Vitoria-Guimaraes
a93e668c,Leeds-United-U23
5bfb9659,Leeds-United
0049d422,Las-Palmas
123f3efe,Bordeaux
ad2be733,Sevilla
e31d1cd9,Real-Sociedad
2b390eca,Athletic-Club
fdba14df,Lech-Poznan
cd051869,Brentford
f0479d7b,Willem-II
a26209d7,Jong-Ajax
19c3f8c4,Ajax
9024a00a,Girona
d10036ca,Boston-River
32f3ee20,Monchengladbach
d07537b9,Brighton-and-Hove-Albion
cff3d9bb,Chelsea
32dd63ea,Freiburg-U17
73178cb3,FC-Andorra
9800b6a1,Levante
28c9c3cd,Como
b81aa4fa,Celtic
822bd0ba,Liverpool
d3d9424a,Basel
421387cf,Fiorentina
bec05adb,Groningen
33c895d4,Southampton
ed54a8b3,Southampton-U23
d01a653b,Argentinos-Juniors
795ca75e,Boca-Juniors
b9cd3c9a,Sochaux
e850256c,RB-Leipzig-U19
b281fa3b,Junior
e986ece7,Dundee-United
bd8769d1,Hull-City
6f7e1f03,Internacional
071dd6bd,Liverpool-U23
8e1ea572,Jong-PSV
e334d850,PSV-Eindhoven
33861392,Liverpool-U21
e2d73ee6,Penarol
78ecf4bb,Almeria
f6af6f6f,Pacos-de-Ferreira
2fdb4aef,Olympiacos
31aa0dd4,Esbjerg
445d3104,Bolton-Wanderers
654f3ca6,Bristol-Rovers
1a921e1f,Shonan-Bellmare
f812e711,Urawa-Red-Diamonds
80328a1e,Sint-Truiden
7a8db6d4,Charlton-Athletic
415ce479,Fulham-U23
e090f40b,Blackburn-Rovers
b4c2d36f,Blackburn-Rovers-U21
cc320bb0,Leicester-City-U21
3b27de1f,Notts-County
c6ce4b54,Stockport
3f4fe568,Sturm-Graz
22327064,Tranmere-Rovers
f13a527f,Crewe-Alexandra
2a60ed82,Deportivo-La-Coruna
fd6114db,Monaco
ec79b7c2,Birmingham-City
1e972a99,Genk
09080694,Chelsea-U23
639950ae,Flamengo
712c528f,Santos
1b286de7,Real-Madrid-Castilla
98e8af82,Rayo-Vallecano
5c2737db,Le-Havre
c4770a69,FC-Dnipro
946a30cb,Zorya-Luhansk
7c6f2c78,Leganes
ab358912,Oviedo
abdce579,Palmeiras
800303a0,Zaragoza
a0435291,Granada
27b6696c,RNK-Split
ea115eb3,Lokomotiva
0e72edf2,Hellas-Verona
46f8c29f,Reggina
a3d88bd8,Empoli
04eea015,Udinese
1d2fe027,SPAL
7fdd64e0,Reims
5725cc7b,Marseille
2a8183b3,Villarreal
19538871,Manchester-United
92aca032,Manchester-United-U23
b985784c,Pescara
e2befd26,Sassuolo
08ad393c,Anderlecht
d3fd31cc,Everton
1850e3f9,Nordsjaelland
f25da7fb,Celta-Vigo
26ebba72,Nacional
7848bd64,Getafe
b7e3e46e,Albacete
105360fe,Torino
71f07916,Carpi
a6a65dea,Trapani
215a8f32,Virtus-Lanciano
45a2f824,Siena
2591250b,Vicenza
922493f3,Atalanta
37cba288,Perugia
eab4234c,Parma
af5d5982,Venezia
c5577084,Salernitana
ef99c78c,River-Plate
06c1606c,Banfield
658bf2de,Genoa
c4260e09,Cagliari
cc919b35,Chievo
01baa639,Bari
f1e6c5f1,Club-Brugge
bb14adb3,RKC-Waalwijk
8d6fd021,Alaves
f5922ca5,Huddersfield-Town
4ba7cbea,Bournemouth
21680aa4,Monza
21d18cee,Pordenone
d6ffefd1,Kasimpasa
68449f6d,Spezia
ff04e205,CFR-Cluj
f201f5dd,Virtus-Entella
3074d7b1,Crotone
9aad3a77,Cremonese
ffcbe334,Lecce
f98930d1,Red-Bull-Bragantino
b1b46fc3,Vaduz
8e20e13d,Racing-Club
dc099c92,Metalurh-Donetsk
e89d5a28,Shakhtar-Donetsk
d41b5f53,Guingamp
146a68ce,Sparta-Rotterdam
193ff7aa,Heerenveen
33ba9d7b,Karlsruher
72c031e3,Ascoli
2eaa8331,Sion
2ac661d9,Holstein-Kiel
45b403c3,Roda-JC-Kerkrade
9ae196bd,AGF
fb4ca611,Feyenoord
4e5f8b9a,Padova
ee058a17,Palermo
cb188c0c,Lille
bf4acd28,Corinthians
95f42e44,Persepolis
eea856da,Rio-Ave
a1f721d3,Twente
17892952,Stoke-City
c48512d3,Shanghai-SIPG
1d8099f8,Bologna
df734df9,Estudiantes-LP
3c079def,New-England-Revolution
ceda2145,Talleres
8a9d5afa,Independiente-Rivadavia
1a8d4355,Cittadella
c4afcbfa,Latina
d8be8b3e,Ternana
34963d0d,Cosenza
19008e93,Reggiana
379ce81a,Carrarese
b1278397,Dusseldorf
ea1d7427,Barcelona-B
ecf53eea,Leverkusen-U19
ab75e049,Brondby
ecb862be,Sparta-Prague
4a2ec81c,Bohemians-1905
ac36c181,Dresden
432f2430,Wehen-Wiesbaden
18d9d2a7,Heidenheim
7a41008f,Union-Berlin
f780fd06,Excel-Mouscron
4472d406,Dinamo-Bucuresti
bea5c710,Eibar
943e8050,Burnley
66cc304a,Laval
281b0e73,Montpellier
d86248bd,BodoGlimt
e14f61a5,Union-SG
1b295b25,Swindon-Town
b09787c5,Burton-Albion
3f8c4b5f,Toulouse
1f68d780,America-MG
c0d3eab4,Strasbourg
40347053,Dortmund-II
38bf50d2,Cultural-Leonesa
45a67fe8,Leverkusen-U17
d69d0df7,Hallescher
bbcef8c7,Preussen-Munster
c241ee1a,Sandhausen
92bfd7f0,Hammarby
41c139b6,Velez-Sarsfield
c6f58d53,De-Graafschap
d15a7c1e,Uniao-de-Leiria
e88fc6e5,Nancy
fb08dbb3,Brest
6009ff35,Cordoba
c6c493e6,Huesca
fb10988f,Swansea-City
a4570206,Defensa-y-Justicia
87a920fa,Rosario-Central
6a329209,Gil-Vicente-FC
90e37d3a,Rosenborg
3c4fb635,Midtjylland
51e5a603,Gent
c8ad3091,Trabzonspor
5905b07a,Belenenses-SAD
33c6b26e,Standard-Liege
98ce363d,Zenit
b9040312,Tianjin-Quangjiang
03c57e2b,Osasuna
3640715c,CD-Mirandes
c187b7ab,Ibiza
4aee1804,Sepsi-Sfantu-Gheorghe
a862ea1d,UTA-Arad
099e0a8b,Rapid-Bucuresti
7f59c601,Middlesbrough
03ff5eeb,Cruzeiro
a9d0ab0e,Fortaleza
22a5a99c,Zurich
2fe3a344,Avellino
