id,name,positions,foot,height,age,nationality,current_club,gls,assists,mp,league,cpf
ecbe2839,Willian Pacho,Defender,Left,186,23,Ecuador,e2d8892c,0,1,44,Ligue 1,f0ac8ee6 990519b8 c2e6b53b e2d8892c
e42d61c7,Achraf Hakimi,Defender Midfielder,Right,177,26,Morocco,e2d8892c,7,11,41,Ligue 1,e2d8892c add600ae 53a2f082 d609edc0
3b029691,Vitinha,Midfielder,Right,172,25,Portugal,e2d8892c,7,2,45,Ligue 1,e2d8892c 79cadc09 5e876ee6 8cec06e1
c2a15a27,Joao Neves,Midfielder,None,None,20,Portugal,e2d8892c,4,9,45,Ligue 1,e2d8892c a77c513e
a0d55a09,Bradley Barcola,Midfielder Forward,None,188,22,France,e2d8892c,17,13,50,Ligue 1,e2d8892c d53c0b06
f20e4cc9,Nuno Mendes,Defender Midfielder,Left,176,22,Portugal,e2d8892c,5,4,39,Ligue 1,e2d8892c 13dc44fd
08f5afaa,Gianluigi Donnarumma,Goalkeeper,Right,196,26,Italy,e2d8892c,0,0,38,Ligue 1,e2d8892c dc56fe14
d5f2f82b,Marquinhos,Defender Midfielder,Right,183,31,Brazil,e2d8892c,2,0,37,Ligue 1,e2d8892c cf74a709
c0c7ff58,Fabian Ruiz Pena,Midfielder,Left,189,29,Spain,e2d8892c,5,9,46,Ligue 1,6c8b07df e2d8892c d48ad4ff fc536746
b19db005,Ousmane Dembele,Midfielder Forward,Both,178,28,France,e2d8892c,29,10,43,Ligue 1,e2d8892c 206d90db add600ae b3072e00
6b9960cf,Warren Zaire-Emery,Midfielder,None,178,19,France,e2d8892c,2,2,41,Ligue 1,e2d8892c
9e7483ff,Desire Doue,Midfielder Forward,Right,178,19,France,e2d8892c,9,8,46,Ligue 1,e2d8892c b3072e00
b8aedf06,Lucas Beraldo,Defender,Right,182,21,Brazil,e2d8892c,1,0,29,Ligue 1,e2d8892c 5f232eb1
8455ad90,Lee Kang-in,Midfielder Forward,Left,173,24,Korea Republic,e2d8892c,6,6,41,Ligue 1,2aa12281 e2d8892c dcc91a7b
dea88efd,Khvicha Kvaratskhelia,Midfielder Forward,Right,183,24,Georgia,e2d8892c,11,8,39,Ligue 1,e2d8892c d48ad4ff 5625a7da 5a8dc328
f63cda26,Goncalo Ramos,Forward,Right,184,23,Portugal,e2d8892c,13,4,33,Ligue 1,e2d8892c a77c513e
d97b252e,Matvei Safonov,Goalkeeper,Right,191,26,Russia,e2d8892c,0,0,12,Ligue 1,e2d8892c fa11a9cc
c3ee18ef,Lucas Hernandez,Defender,Left,183,29,France,e2d8892c,0,0,20,Ligue 1,e2d8892c db3b9613 054efa67
bac89b96,Senny Mayulu,Midfielder,None,None,19,France,e2d8892c,3,2,23,Ligue 1,e2d8892c
45af8a54,Marco Asensio,Midfielder Forward,Left,178,29,Spain,8602292d,8,5,33,Premier League,8602292d 2aa12281 e2d8892c a8661628 53a2f082
c0b3669f,Randal Kolo Muani,Midfielder Forward,Right,187,26,France,e0652b02,10,2,32,Serie A,f0ac8ee6 e2d8892c d7a486cd e0652b02
30f5ffa9,Milan Skriniar,Defender Midfielder,Right,187,30,Slovakia,ae1e2d7d,3,1,24,Süper Lig,e2d8892c 8ff9e3b3 d609edc0 ae1e2d7d
201b4ee4,Ibrahim Mbaye,Forward,None,None,17,France,e2d8892c,1,1,9,Ligue 1,e2d8892c
5ce497e2,Yoram Zague,Defender,None,178,19,France,e2d8892c,0,0,4,Ligue 1,e2d8892c
75cde619,Axel Tape,Midfielder,None,None,17,France,e2d8892c,0,0,2,Ligue 1,e2d8892c
30670b0e,Arnau Tenas,Goalkeeper,Right,185,23,Spain,e2d8892c,0,0,1,Ligue 1,e2d8892c 206d90db
aef6e670,Presnel Kimpembe,Defender,Left,183,29,France,e2d8892c,0,0,3,Ligue 1,e2d8892c
1a7cfdea,Noham Kamara,Defender,None,None,18,France,e2d8892c,0,0,2,Ligue 1,e2d8892c
4eef9e37,Louis Mouquet,Goalkeeper,None,None,20,Portugal,e2d8892c,0,0,0,None,e2d8892c
f9b69340,Naoufel El Hannach,Defender,None,183,18,Morocco,e2d8892c,0,0,0,None,e2d8892c
fed17f5a,Carlos Soler,Midfielder,Right,183,28,Spain,7c21e445,1,1,31,Premier League,7c21e445 e2d8892c dcc91a7b
57e30346,Quentin Ndjantou Mbitcha,Forward,None,None,17,France,e2d8892c,0,0,0,None,e2d8892c
4f2ce205,Wassim Slama,Midfielder,None,None,16,France,e2d8892c,0,0,0,None,e2d8892c
49296448,Joshua Kimmich,Defender Midfielder,Right,176,30,Germany,054efa67,3,11,47,Bundesliga,054efa67 acbb6a5b
e0f8151c,Kim Min-jae,Defender,Right,188,28,Korea Republic,054efa67,3,0,40,Bundesliga,8ab37ab8 054efa67 ae1e2d7d d48ad4ff ae23a242
21a66f6a,Harry Kane,Forward,Right,188,31,England,054efa67,37,11,44,Bundesliga,1c781004 054efa67 590e9120 a2d435b3 e3c537a1 361ca564
c4486bac,Michael Olise,Midfielder Forward,Left,178,23,France,054efa67,17,17,48,Bundesliga,054efa67 67909e74 47c64c55 b0ac61ff 62c221d0
8778c910,Manuel Neuer,Goalkeeper,Right,193,39,Germany,054efa67,0,0,32,Bundesliga,c539e393 054efa67
d248cd8f,Dayot Upamecano,Defender,Right,188,26,France,054efa67,2,0,31,Bundesliga,054efa67 50f2a074 acbb6a5b
2c0558b8,Jamal Musiala,Midfielder Forward,Right,184,22,Germany,054efa67,15,5,37,Bundesliga,8b10a09d 054efa67 a4a1c462 9133b975
c1b7847c,Konrad Laimer,Defender Midfielder,Right,179,28,Austria,054efa67,3,3,40,Bundesliga,054efa67 50f2a074 acbb6a5b
d781d855,Alphonso Davies,Defender Midfielder Forward,Left,178,24,Canada,054efa67,3,2,28,Bundesliga,054efa67 9133b975 ab41cb90 2cbb6f5a
2b114be3,Leroy Sane,Midfielder Forward,Left,184,29,Germany,054efa67,12,5,43,Bundesliga,c539e393 b8fd03ef 054efa67 e41e516f
cc86b9a3,Leon Goretzka,Midfielder,Right,189,30,Germany,054efa67,5,2,38,Bundesliga,c539e393 054efa67 b42c6323
048a1cbc,Raphael Guerreiro,Defender Midfielder,Left,170,31,Portugal,054efa67,5,4,32,Bundesliga,74229020 add600ae d2c87802 054efa67
88e357ef,Serge Gnabry,Midfielder Forward,Right,173,29,Germany,054efa67,7,7,39,Bundesliga,033ea6b8 62add3bf 60c6b05f 054efa67 18bb7c10
042e8a49,Kingsley Coman,Midfielder Forward,Right,178,28,France,054efa67,6,4,39,Bundesliga,e2d8892c 054efa67 e0652b02
2658c82f,Aleksandar Pavlovic,Midfielder,None,None,21,Germany,054efa67,1,0,26,Bundesliga,8b10a09d 054efa67 a4a1c462
ac861941,Eric Dier,Defender Midfielder,Right,188,31,England,054efa67,3,1,27,Bundesliga,13dc44fd 054efa67 361ca564
3c6089ab,Thomas Muller,Midfielder Forward,Right,186,35,Germany,054efa67,4,5,42,Bundesliga,054efa67
7ed08d5c,Josip Stanisic,Defender,Right,186,25,Croatia,054efa67,0,2,20,Bundesliga,054efa67 a4a1c462 9133b975 c7a9f859
925bbcdc,Jonas Urbig,Goalkeeper,Right,189,21,Germany,054efa67,0,0,22,2. Bundesliga,5cb328f2 054efa67 5b499073 bc357bf7 7978e9a3 12192a4c
a78ff07f,Joao Palhinha,Midfielder,Right,190,29,Portugal,054efa67,0,0,22,Bundesliga,69d84c29 054efa67 13dc44fd fd962109 19dc476f e4502862
6c8ddd52,Sacha Boey,Defender,Right,166,24,France,054efa67,0,2,16,Bundesliga,ecd11ca2 8dfb7350 054efa67 b3072e00
829aa60c,Mathys Tel,Forward,None,183,20,France,361ca564,2,2,29,Premier League,054efa67 b3072e00 361ca564
3f29b3ba,Daniel Peretz,Goalkeeper,Right,187,24,Israel,054efa67,0,0,4,Bundesliga,054efa67
204dded0,Hiroki Ito,Defender,Left,186,26,Japan,054efa67,1,0,8,Bundesliga,16fa293c 9c584cf2 054efa67 598bc722
7d3e7da6,Sven Ulreich,Goalkeeper,Right,192,36,Germany,054efa67,0,0,2,Bundesliga,2959ee71 26790c6a 054efa67 598bc722
5360a956,Gabriel Vidovic,Midfielder,None,180,21,Croatia,054efa67,0,0,5,Bundesliga,a224b06a 054efa67 209d7fa2 a4a1c462 edd0d381 8b10a09d
e678d983,Adam Aznou,Defender,None,None,18,Morocco,a4a1c462,0,0,16,La Liga,8b10a09d 054efa67 a4a1c462 17859612
f5c4fd91,Arijon Ibrahimovic,Forward,None,179,19,Germany,7213da33,0,0,3,Serie A,7213da33 6a7ad59d 054efa67 a4a1c462 8b10a09d
c7c26e61,Jonah Kusi-Asare,Forward,None,None,17,Sweden,a4a1c462,0,0,1,Bundesliga,054efa67 b0333581 a4a1c462
f6c57f0c,Wisdom Mike,Forward,None,None,16,Germany,8b10a09d,0,0,0,U19 DFB Youth League,8b10a09d 054efa67 a4a1c462
220c0445,Anthony Pavlesic,Goalkeeper,None,None,19,Australia,a4a1c462,0,0,0,Bundesliga,054efa67 605aca82 a4a1c462
a0deb1e9,Lennart Karl,Midfielder,None,None,17,Germany,8b10a09d,0,0,0,U19 DFB Youth League,8b10a09d 054efa67 a4a1c462
257e16ec,Leon Klanac,Goalkeeper,None,None,18,Germany,a4a1c462,0,0,0,U19 DFB Youth League,8b10a09d a4a1c462
4ac730b2,Nestory Irankunda,Midfielder,None,None,19,Australia,7b66a29c,1,3,19,Super Lg,a4302376 7b66a29c
25355bd8,Jonathan Asp Jensen,Midfielder,None,None,19,Denmark,a4a1c462,0,0,0,U19 DFB Youth League,8b10a09d 054efa67 a4a1c462
99a19e12,Max Schmitt,Goalkeeper,None,189,19,Germany,a4a1c462,0,0,0,Bundesliga,8b10a09d 054efa67 a4a1c462
445dff99,Noel Nkili,Midfielder,None,None,19,Germany,a4a1c462,0,0,11,3. Liga,054efa67 60b5e41f a4a1c462 81d83299 b7f03da0 df7c9b00
a8f643c2,Tarek Buchmann,Defender,None,None,20,Germany,054efa67,0,0,0,U19 Bundesliga,8b10a09d a4a1c462
3423f250,Raphinha,Midfielder Forward,Left,176,28,Brazil,206d90db,31,17,50,La Liga,a93e668c 3f319bc9 5bfb9659 206d90db 13dc44fd b3072e00 f205258a
0d9b2d31,Pedri,Midfielder,Right,174,22,Spain,206d90db,4,7,51,La Liga,206d90db 0049d422
82ec26c1,Lamine Yamal,Midfielder Forward,Left,None,17,Spain,206d90db,14,16,48,La Liga,206d90db
4d1666ff,Jules Kounde,Defender,Right,178,26,France,206d90db,2,6,45,La Liga,123f3efe 206d90db ad2be733
cc7888f3,Pau Cubarsi,Defender,Right,181,18,Spain,206d90db,0,4,48,La Liga,206d90db
