id,name
98e8af82,Rayo Vallecano
2aa12281,Mallorca
03c57e2b,Osasuna
5ae09109,Auxerre
105360fe,Torino
e31d1cd9,Real Sociedad
04eea015,Udinese
dcc91a7b,Valencia
4eaa11d7,Wolfsburg
b3072e00,Rennes
3f8c4b5f,Toulouse
8cec06e1,Wolves
7a41008f,Union Berlin
7848bd64,Getafe
a8661628,Espanyol
ad2be733,Sevilla
9024a00a,Girona
d3fd31cc,Everton
19538871,Manchester Utd
658bf2de,Genoa
361ca564,Tottenham
7c21e445,West Ham
8d6fd021,Alaves
7fdd64e0,Reims
69236f98,Angers
d7a486cd,Nantes
54864664,St. Pauli
033ea6b8,Hoffenheim
5c2737db,Le Havre
c4260e09,Cagliari
0049d422,Las Palmas
eab4234c,Parma
7c6f2c78,Leganes
0e72edf2,Hellas Verona
18d9d2a7,Heidenheim
2ac661d9,Holstein Kiel
ffcbe334,Lecce
d298ef2c,Saint-Etienne
af5d5982,Venezia
a3d88bd8,Empoli
b42c6323,Bochum
b74092de,Ipswich Town
a2d435b3,Leicester City
281b0e73,Montpellier
17859612,Valladolid
21680aa4,Monza
33c895d4,Southampton
