id,name,positions,foot,height,age,nationality,current_club,gls,assists,mp,cpf
6eaed4eb,Florian Lejeune,CB,Right,188,33,France,98e8af82,1,2,33,98e8af82 fb08dbb3 2a8183b3 bea5c710 70f96e85 b2b47a98 408a9724 91df880d 8d6fd021 9024a00a
b1b99435,Andrei Ratiu,FB,Right,183,26,Romania,98e8af82,2,3,31,98e8af82 c6c493e6 4e7459b7 2a8183b3
fc627681,Augusto Batalla,GK,Right,185,29,Argentina,98e8af82,0,0,28,0e92bf17 f052bc76 98e8af82 42a1ab8b 5049d576 a0435291 66da6009 ef99c78c
38ce1150,Jorge de Frutos,AM WM,Right,173,28,Spain,98e8af82,4,3,32,9800b6a1 98e8af82 17859612
90bbd822,Alvaro Garcia,AM,Left,168,32,Spain,98e8af82,3,5,32,98e8af82 a0435291 dee3bbc8 ee7c297c
63c5e56b,Pep Chavarria,FB,Left,174,27,Spain,98e8af82,0,1,30,800303a0 98e8af82
5487adcd,Abdul Mumin,CB,Right,188,26,Ghana,98e8af82,2,1,24,98e8af82 1850e3f9 3f319bc9
9a0408b6,Pathe Ciss,DM,Right,178,31,Senegal,98e8af82,4,1,30,98e8af82 44b79033
49dbab27,Isaac Palazon Camacho,AM,Left,169,30,Spain,98e8af82,3,4,31,ffbaa3d2 98e8af82
592f3158,Oscar Valentin,CM DM,Right,177,30,Spain,98e8af82,0,0,31,98e8af82 fef8ad9e
db8f0eba,Adri Embarba,AM WM,Right,173,33,Spain,98e8af82,1,1,32,98e8af82 a8661628 78ecf4bb
88050721,Unai Lopez,CM DM,Right,169,29,Spain,98e8af82,3,1,28,2b390eca 98e8af82 63f04c5e 7c6f2c78
a6103274,Randy Nteka,FW-MF,Left,189,27,Angola,98e8af82,3,0,24,98e8af82 44b79033 6c8b07df
eea5130e,Pedro Diaz,CM DM,None,180,26,Spain,98e8af82,3,0,22,98e8af82 123f3efe bb9efd50
873619c6,Sergio Camello,FW,Right,177,24,Spain,98e8af82,3,2,23,98e8af82 db3b9613 3640715c
cee88597,Ivan Balliu,FB,Right,175,33,Albania,98e8af82,0,0,21,98e8af82 ea1d7427 78ecf4bb f83960ae 0d36ddd4
132ac341,Aridane Hernandez,CB,Right,186,36,Spain,98e8af82,0,0,11,98e8af82 03c57e2b ee7c297c
db001fa9,Alfonso Espino,FB,Left,171,33,Uruguay,98e8af82,0,0,13,98e8af82 26ebba72 ee7c297c
ac454a4f,Gerard Gumbau,CM DM,Left,187,30,Spain,98e8af82,0,1,19,98e8af82 ea1d7427 6c8b07df 206d90db 7c6f2c78 a0435291 9024a00a
e1846dde,Cardenas,GK,Right,186,28,Spain,98e8af82,0,0,6,98e8af82 9800b6a1
fc647b34,Oscar Trejo,AM,Right,177,37,Argentina,98e8af82,1,0,16,98e8af82 bb9efd50 6c8b07df 2aa12281 3f8c4b5f
32974271,Sergi Guardiola,FW-MF,Left,187,33,Spain,98e8af82,0,0,15,98e8af82 6009ff35 a4302376 7848bd64 a0435291 17859612 045c971f ee7c297c
ce46e850,Pelayo Fernandez,DF,None,None,22,Spain,98e8af82,0,0,1,98e8af82
715bf047,James Rodriguez,AM WM,Left,180,33,Colombia,fd7dad55,2,6,22,d3fd31cc 98e8af82 5f232eb1 53a2f082 5e876ee6 fd6114db 054efa67 2fdb4aef fd7dad55
02ef8778,Raul de Tomas,FW,Right,180,30,Spain,98e8af82,0,0,2,a77c513e 1b286de7 98e8af82 a8661628 6009ff35 53a2f082 17859612
7ecd41a2,Etienne Eto'o,FW,None,None,22,Cameroon,98e8af82,0,0,2,98e8af82
26ff6313,Marco de las Sias,DF,None,None,19,Spain,98e8af82,0,0,0,98e8af82
535771bb,Joni Montiel,MF,None,173,26,Spain,98e8af82,0,0,0,98e8af82 2a60ed82 ab358912 9800b6a1 d9fac124 17859612
b151a3f2,Diego Mendez,MF,None,182,21,Spain,fa36ed9b,0,0,5,98e8af82 fa36ed9b
117cd0a8,Morro,GK,None,193,24,Spain,b9daacef,0,0,0,98e8af82 44b79033 408a9724
b857bd29,Antonio Raillo,CB,Right,186,33,Spain,2aa12281,2,0,32,ffbaa3d2 2aa12281 a8661628
f2c6ac01,Martin Valjent,CB,Right,186,29,Slovakia,2aa12281,2,0,28,d8be8b3e 2aa12281
608f2092,Johan Mojica,FB WM,Left,182,32,Colombia,2aa12281,1,2,32,98e8af82 03c57e2b 2a8183b3 6c8b07df 2aa12281 922493f3 17859612 9024a00a
30061f53,Dominik Greif,GK,Right,197,28,Slovakia,2aa12281,0,0,28,2aa12281
070a3904,Sergi Darder,AM CM WM,Right,180,31,Spain,2aa12281,1,5,34,2aa12281 a8661628 1c896955 d53c0b06
76c2a023,Samu Costa,CM DM,Left,183,24,Portugal,2aa12281,0,2,28,69d84c29 2aa12281 78ecf4bb
5db04597,Pablo Maffeo,FB,Right,173,27,Spain,2aa12281,0,1,27,c6c493e6 e41e516f b8fd03ef 598bc722 2aa12281 9024a00a
70f8e0bd,Dani Rodriguez,AM CM WM,Right,178,36,Spain,2aa12281,4,7,33,2aa12281 b7e3e46e
11fd2b75,Omar Mascarell,CM DM,Right,181,32,Equatorial Guinea,2aa12281,0,0,28,bb9efd50 6c8b07df c539e393 53a2f082 26ab47ee f0ac8ee6 2aa12281 1b286de7
0cadc46d,Vedat Muriqi,FW-MF,Left,194,31,Kosovo,2aa12281,7,2,25,f6d47c93 f622e63c 7213da33 ae1e2d7d 2aa12281
e7af9060,Cyle Larin,FW-MF,Left,188,30,Canada,2aa12281,6,2,28,f1e6c5f1 ecd34b98 46ef01d0 0f9294bd 2aa12281 17859612
0f26ffd7,Copete,CB,Left,192,25,Spain,2aa12281,0,0,24,ffbaa3d2 2aa12281
c997b942,Roberto Navarro,MF,Right,178,23,Spain,2aa12281,1,0,23,e31d1cd9 2aa12281 576452c6 ee7c297c
a0255c67,Manu Morlanes,CM DM,Right,178,26,Spain,2aa12281,0,0,21,2aa12281 a8661628 78ecf4bb 2a8183b3
a254bbe0,Antonio Sanchez,MF,Right,179,28,Spain,2aa12281,0,0,29,2aa12281 3640715c
13ddc856,Takuma Asano,AM,Right,171,30,Japan,2aa12281,2,0,20,a33a1d8d b42c6323 598bc722 dde3e804 2aa12281 60b5e41f
924ff27e,Leo Roman,GK,None,190,24,Spain,2aa12281,0,0,6,2aa12281 ab358912
5fd5e542,Mateu Morey,DF,Right,173,25,Spain,2aa12281,0,0,12,2aa12281 add600ae 40347053
8e088e04,Toni Lato,FB,Left,173,27,Spain,2aa12281,0,0,11,e334d850 8e1ea572 2aa12281 dcc91a7b 03c57e2b
d1b060e2,Abdon Prats,FW,None,177,32,Spain,2aa12281,2,0,24,2aa12281 27cc9c62 3640715c
4acd733a,Valery Fernandez,MF,Right,182,25,Spain,2aa12281,2,0,17,2aa12281 9024a00a
54880c9b,Marc Domenech,FW,None,None,19,Spain,2aa12281,0,0,7,2aa12281
dc6c2f02,Chiquinho,FW-MF,Right,179,25,Portugal,2aa12281,0,0,9,8cec06e1 00c41b75 79cadc09 2de656d5 17892952 2aa12281
cf9bdd43,Siebe Van Der Heyden,CB,Right,185,26,Belgium,54864664,1,0,14,e14f61a5 95b895fe e78963ab 54864664 2aa12281
0924357d,David Lopez,DF,None,195,22,Spain,2aa12281,1,1,18,d9fac124 2aa12281 6c8b07df
38b0cf42,Javier Llabres,FW,None,174,22,Spain,fa36ed9b,2,0,12,2aa12281 fa36ed9b 3640715c
59bb99d1,Jan Salas,MF,None,None,19,Spain,2aa12281,0,0,3,2aa12281
410b16e3,Daniel Luna,MF,None,None,22,Colombia,bbd9ac49,2,1,15,2aa12281 bbd9ac49 47538775 3640715c
75751c99,Ivan Cuellar,GK,Left,185,40,Spain,2aa12281,0,0,0,bea5c710 bb9efd50 db3b9613 7c6f2c78 2aa12281
a2b1bca6,Pere Joan,GK,None,188,23,Spain,2aa12281,0,0,0,7c60889d
a4995f48,Sergio Herrera,GK,Right,192,31,Spain,03c57e2b,0,0,33,c6c493e6 03c57e2b
94e01ec6,Jesus Areso,FB,Right,182,25,Spain,03c57e2b,0,3,32,d9fac124 03c57e2b
0e4fef6e,Lucas Torro,CM DM,Right,188,30,Spain,03c57e2b,3,0,31,03c57e2b b82e5e21 ab358912 f0ac8ee6 1b286de7
8f3565b3,Ante Budimir,FW,Left,190,33,Croatia,03c57e2b,18,4,34,2aa12281 bbe40bd8 8ff9e3b3 54864664 ea115eb3 3074d7b1 03c57e2b
3a99bc13,Enzo Boyomo,CB,None,None,23,Cameroon,03c57e2b,2,0,33,b6e0c777 03c57e2b 17859612 b7e3e46e
7c363088,Aimar Oroz,CM,Right,177,23,Spain,03c57e2b,5,2,33,03c57e2b
274ab13c,Catena,CB,Right,194,30,Spain,03c57e2b,0,2,31,98e8af82 0132fa5f 03c57e2b
5c96b017,Ruben Garcia,AM WM,Left,171,31,Spain,03c57e2b,5,5,33,9800b6a1 03c57e2b bb9efd50
40b6bd38,Abel,FB,None,None,24,Spain,03c57e2b,2,0,32,03c57e2b ab358912
9939e168,Jon Moncayola,CM,Right,182,26,Spain,03c57e2b,0,0,30,03c57e2b
e19c989c,Jorge Herrando,DF,Left,192,24,Spain,03c57e2b,1,0,18,03c57e2b
